Threshold,Accuracy,Precision,Recall,F1
0.3,0.5361680191565784,0.29709881669088645,0.9342309261525907,0.45082790258116595
0.35,0.5849574298257284,0.3182234432234432,0.9073847409220727,0.4711964236530435
0.4,0.6316515897299455,0.3415321547527543,0.8701754385964913,0.4905356608937648
0.45,0.6738559265664494,0.36543525969275786,0.8152590779273766,0.5046596792524308
0.5,0.7123852600771584,0.39292238412846764,0.7547123623011016,0.5167905235514332
0.55,0.7421012371956898,0.41857671904714244,0.6824969400244798,0.5189068461705494
0.6,0.7643341758680324,0.4433677991137371,0.6123215014279886,0.5143248800548321
