market_name,district_name,state,commodity,variety,grade,price_date,modal_price,price_lag_1,price_lag_3,price_lag_7,price_lag_14,price_lag_30,price_change_3d,price_change_7d,price_change_14d,price_change_30d,rolling_mean_7d,rolling_mean_30d,rolling_std_7d,rolling_std_30d,price_vs_ma7,price_vs_ma30,month,day_of_week,crash
Maur,Bhatinda,Punjab,Banana,Banana - Ripe,Medium,2024-11-28,3200.0,3200.0,3200.0,3200.0,4100.0,2900.0,0.0,0.0,-0.2195121951219512,0.1034482758620689,3200.0,3400.0,0.0,349.284983931459,0.0,-0.0588235294117647,11,3,0
Puwaha,Shahjahanpur,Uttar Pradesh,Banana,Banana - Ripe,Medium,2024-11-29,2800.0,2800.0,2800.0,2700.0,2800.0,2800.0,0.0,0.0370370370370369,0.0,0.0,2833.333333333333,2766.6666666666665,57.73502691896549,55.20017050272136,-0.011764705882353,0.0120481927710844,11,4,0
Shahkot,Jalandhar,Punjab,Brinjal,Other,FAQ,2024-12-03,1400.0,1500.0,1400.0,1400.0,1500.0,1600.0,0.0,0.0,-0.0666666666666666,-0.125,1375.0,1377.7777777777778,125.83057392117917,143.71358589653897,0.018181818181818,0.0161290322580645,12,1,0
Bindki,Fatehpur,Uttar Pradesh,Brinjal,Round/Long,FAQ,2024-12-04,1580.0,1550.0,1530.0,1410.0,1610.0,2230.0,0.0326797385620916,0.1205673758865248,-0.0186335403726708,-0.2914798206278026,1556.6666666666667,1539.4736842105262,20.816659994661308,60.32077992887351,0.0149892933618842,0.0263247863247864,12,2,1
Itawa,Kota,Rajasthan,Garlic,Garlic,FAQ,2024-12-13,17900.0,18100.0,17309.0,22000.0,23950.0,17800.0,0.0341440868912126,-0.1863636363636364,-0.2526096033402922,0.0056179775280897,17077.25,21628.6875,1424.969093232082,3241.265323270117,0.0481781317249556,-0.1723954585778725,12,4,0
Sultanpur,Amethi,Uttar Pradesh,Garlic,Garlic,FAQ,2024-12-17,19300.0,18600.0,18600.0,18900.0,17670.0,15800.0,0.0376344086021505,0.0211640211640211,0.0922467458970006,0.2215189873417722,18724.0,18188.260869565216,325.3920712002661,638.7676499885567,0.0307626575518051,0.0611239930198648,12,1,0
Abohar,Fazilka,Punjab,Brinjal,Brinjal,FAQ,2024-12-18,1700.0,1900.0,1900.0,3000.0,1700.0,1800.0,-0.1052631578947368,-0.4333333333333333,0.0,-0.0555555555555555,1800.0,1995.4166666666667,100.00000000000028,344.20830329991475,-0.0555555555555555,-0.1480476091041971,12,2,0
Sabalgarh(F&V),Morena,Madhya Pradesh,Brinjal,Other,FAQ,2024-12-23,475.0,475.0,675.0,550.0,475.0,625.0,-0.2962962962962963,-0.1363636363636363,0.0,-0.24,480.0,491.4285714285714,8.660254037844387,108.01404060136387,-0.0104166666666666,-0.0334302325581395,12,0,0
Malerkotla,Sangrur,Punjab,Brinjal,Arkasheela Mattigulla,FAQ,2024-12-25,1700.0,1700.0,1700.0,1500.0,1800.0,1500.0,0.0,0.1333333333333333,-0.0555555555555555,0.1333333333333333,1660.0,1494.7368421052631,89.44271909999159,252.70466778990664,0.0240963855421687,0.1373239436619717,12,2,0
Sailana,Ratlam,Madhya Pradesh,Garlic,Desi,FAQ,2024-12-27,19000.0,17050.0,16200.0,24100.0,21510.0,19000.0,0.1728395061728396,-0.2116182572614108,-0.1166899116689911,0.0,18353.33333333333,19395.0,1128.7308507050448,2459.5121467478007,0.0352342898656012,-0.0203660737303428,12,4,1
Paliakala,Lakhimpur,Uttar Pradesh,Green Chilli,Green Chilly,FAQ,2024-12-30,2650.0,2730.0,2720.0,3060.0,3740.0,4330.0,-0.025735294117647,-0.1339869281045751,-0.2914438502673797,-0.3879907621247113,2696.6666666666665,2846.0,41.633319989322594,160.36070452436962,-0.0173053152039553,-0.0688685874912157,12,0,0
Gopiganj,Bhadohi(Sant Ravi Nagar),Uttar Pradesh,Brinjal,Arkasheela Mattigulla,FAQ,2025-01-03,1600.0,1640.0,1660.0,1620.0,1720.0,1830.0,-0.036144578313253,-0.0123456790123457,-0.0697674418604651,-0.1256830601092896,1630.0,1646.428571428571,26.457513110645905,49.22010816342805,-0.0184049079754601,-0.0281995661605205,1,4,0
Gopiganj,Bhadohi(Sant Ravi Nagar),Uttar Pradesh,Garlic,Average,FAQ,2025-01-03,20530.0,20540.0,20700.0,19140.0,18760.0,16400.0,-0.0082125603864734,0.0726227795193312,0.0943496801705756,0.2518292682926828,20590.0,20213.75,77.88880963698615,672.9240564241234,-0.0029140359397765,0.0156452909529405,1,4,0
Samrala,Ludhiana,Punjab,Brinjal,Other,FAQ,2025-01-03,1200.0,1200.0,1300.0,1300.0,1700.0,1800.0,-0.0769230769230768,-0.0769230769230768,-0.2941176470588235,-0.3333333333333333,1250.0,1488.235294117647,54.772255750516585,236.86059439356023,-0.04,-0.1936758893280632,1,4,0
Moga,Moga,Punjab,Brinjal,Other,FAQ,2025-01-04,2000.0,1800.0,1800.0,2300.0,2800.0,1600.0,0.1111111111111111,-0.1304347826086956,-0.2857142857142857,0.25,1666.6666666666667,2367.5,416.3331998932264,454.8785262948895,0.1999999999999999,-0.1552270327349525,1,5,0
Jafarganj,Amethi,Uttar Pradesh,Garlic,Desi,FAQ,2025-01-05,18810.0,18750.0,14750.0,18700.0,18650.0,17620.0,0.2752542372881357,0.0058823529411764,0.0085790884718499,0.0675368898978434,17777.5,18360.5,2018.5039839775843,1227.7899486047145,0.0580790324848825,0.0244819040875792,1,6,0
Dudhi,Sonbhadra,Uttar Pradesh,Cabbage,Cabbage,FAQ,2025-01-06,1100.0,1200.0,1000.0,1000.0,1000.0,900.0,0.1,0.1,0.1,0.2222222222222223,1033.3333333333333,918.75,208.16659994661327,132.75918047351814,0.0645161290322582,0.1972789115646258,1,0,1
"Kalol(Veg,Market,Kalol)",Gandhinagar,Gujarat,Green Chilli,Green Chilly,FAQ,2025-01-13,2500.0,3000.0,3000.0,3500.0,2500.0,2500.0,-0.1666666666666666,-0.2857142857142857,0.0,0.0,3000.0,3027.777777777778,273.8612787525831,291.6666666666667,-0.1666666666666666,-0.1743119266055046,1,0,1
"Kalol(Veg,Market,Kalol)",Gandhinagar,Gujarat,Cabbage,Cabbage,FAQ,2025-01-13,500.0,500.0,500.0,1000.0,1350.0,1500.0,0.0,-0.5,-0.6296296296296297,-0.6666666666666667,525.0,694.4444444444445,61.23724356957945,343.1876713662333,-0.0476190476190476,-0.28,1,0,1
"Kalol(Veg,Market,Kalol)",Gandhinagar,Gujarat,Brinjal,Brinjal,FAQ,2025-01-13,500.0,600.0,600.0,600.0,1500.0,2000.0,-0.1666666666666666,-0.1666666666666666,-0.6666666666666667,-0.75,575.0,616.6666666666666,98.7420882906575,132.28756555322954,-0.1304347826086956,-0.1891891891891891,1,0,0
Sunam,Sangrur,Punjab,Brinjal,Other,FAQ,2025-01-16,900.0,900.0,900.0,1000.0,1000.0,1300.0,0.0,-0.0999999999999999,-0.0999999999999999,-0.3076923076923077,900.0,946.1538461538462,0.0,96.7417922046846,0.0,-0.048780487804878,1,3,0
